i,hs2,v
4,1,172.0030012130737
4,2,4.352999903261662
4,3,3.716999908909202
4,4,81.56400211900473
4,5,1671.347947239876
4,6,56.64400008693337
4,7,249946.7721483959
4,8,593343.2055956175
4,9,109015.9000254321
4,10,4647.303865045309
4,11,92.48500111862086
4,12,61321.4673955132
4,13,123309.1622422541
4,14,832.1239784508944
4,15,316.780001377454
4,16,604.6419909354299
4,17,1028.901987658814
4,18,101.6749989053933
4,19,426.3829975959379
4,20,4038.649020997691
4,21,599.1370016735746
4,22,28221.56256212387
4,23,103.6620028521866
4,24,2988.948046311736
4,25,8025.934005033225
4,26,1622.670027263463
4,27,103197.3577303793
4,28,288.5899991253391
4,29,1105.214977706899
4,30,302.577990304213
4,31,2.806999921798706
4,32,100.0460012105759
4,33,1866.364002344548
4,34,69.49800026591402
4,35,20.46300010289997
4,36,1.97599995136261
4,37,42.3970014732331
4,38,316.1270014145412
4,39,2887.730043105432
4,40,672.1239981360268
4,41,4609.275973924436
4,42,481.2909977089148
4,43,536.9490090236068
4,44,158.0409992570058
4,45,.0780000016093254
4,46,175.4630049278494
4,48,228.1299999150215
4,49,93.24800026544835
4,51,3740.814942285419
4,52,226372.8199795
4,53,6.839000022038817
4,54,67.10700013441965
4,55,40.96000063791871
4,56,5.212999897776172
4,57,16005.87606235547
4,58,70.02599944279063
4,59,11.59700017457362
4,60,14.52299970563035
4,61,853.8960008702707
4,62,1084.147999334964
4,63,384.1940003100317
4,64,278.3199966484681
4,65,42.02499967813492
4,66,.2450000047683716
4,67,60.15499968302902
4,68,352.9749983241782
4,69,152.3559987278422
4,70,117.4849989487557
4,71,15881.07199476706
4,72,482.8530136942863
4,73,1790.69003103883
4,74,36.88299950759392
4,75,46.55500090494752
4,76,6094.802123346715
4,78,3590.921936035156
4,79,251.8679949603975
4,80,1.126999992877245
4,81,8.889999881386757
4,82,483.7759985217126
4,83,367.9379981970415
4,84,6208.79503271752
4,85,5362.381987670204
4,86,1660.683992661536
4,87,3457.688980814186
4,88,20.00799988210201
4,90,1532.96199511853
4,91,34.82900002994575
4,92,40.62299895379692
4,93,58.89300168305635
4,94,1212.146013167687
4,95,877.6080020135269
4,96,390.3139996031532
4,97,6151.162048086524
8,1,210.4450017809868
8,2,1967.273940384388
8,3,68251.63622974791
8,4,7892.828919757856
8,5,1806.480026170611
8,6,7373.895910036401
8,7,125411.1622501267
8,8,65499.63882023795
8,9,10647.52197423915
8,10,104.3249986171722
8,11,687.5119985598139
8,12,59544.18422652932
8,13,171.3550012549385
8,14,471.0790072064847
8,15,23189.62778305169
8,16,64674.89050359931
8,17,854.0329660410061
8,18,1616.771983625367
8,19,21309.09091526666
8,20,29743.26061609737
8,21,7984.102929602843
8,22,26153.40890617878
8,23,1547.109978802502
8,24,8267.2029869752
8,25,79086.19456652191
8,26,182925.8768301015
8,27,363048.8846570235
8,28,4611.239968064241
8,29,1322.530983398436
8,30,8030.110957046039
8,31,2256.61404348677
8,32,20534.03941528092
8,33,21594.57402228308
8,34,3850.972962105414
8,35,1211.34200655343
8,36,7710.62903380394
8,37,36.62700058892369
8,38,10834.98802975402
8,39,57666.23068507004
8,40,10972.4428758095
8,41,8448.851808317006
8,42,14045.90124233626
8,43,20.29999963566661
8,44,28727.36659202375
8,45,.8019999861717224
8,46,642.7700025439262
8,47,2266.335051059723
8,48,69569.11880926567
8,49,6040.156064254697
8,50,71.60000146925449
8,51,36.0139990253374
8,52,1178.725003642845
8,53,46.9650003425777
8,54,240.0790003420552
8,55,126.1239983439445
8,56,2625.465943511575
8,57,506.6329989021178
8,58,418.6219953134423
8,59,658.4080053262878
8,60,792.712013175711
8,61,275715.93824824
8,62,439770.2560848146
8,63,33356.39846588764
8,64,578363.1682885173
8,65,8843.899152541533
8,66,644.9440081417561
8,67,72.60500071384013
8,68,8954.300991032273
8,69,11087.45672878565
8,70,8002.985994322575
8,71,17457.62786317815
8,72,202345.4477152824
8,73,110334.0045426674
8,74,24930.80100181838
8,76,121973.9766150814
8,78,7043.077966161072
8,79,834.6739908736199
8,80,18.7540002707392
8,81,31.14000022877008
8,82,1769.733030633186
8,83,46696.19864721748
8,84,61985.20415750821
8,85,262806.7183790724
8,86,19.54799991846085
8,87,33823.09735131287
8,88,5421.775167167187
8,89,2418.388976432383
8,90,12715.2119444221
8,91,86.9799988172017
8,92,57.59499977342784
8,93,59.04200148582458
8,94,65070.20444597653
8,95,1847.284016013611
8,96,1159.091987914871
8,97,719.0469977222383
12,1,1.081999972462654
12,2,388.3810014724731
12,3,12041.60686311126
12,4,389.0729941845639
12,5,1.148000018321909
12,6,.4439999891910702
12,7,3302.25401083054
12,8,170572.1288678808
12,9,735.6609999357024
12,10,249.4790005375398
12,11,22210.64299936313
12,12,11805.10693851393
12,13,287.1240072686924
12,14,1.325000017881393
12,15,10948.98103620566
12,16,20507.2695834008
12,17,105978.5102137023
12,18,1713.083026283304
12,19,13581.37303389807
12,20,7069.90485946706
12,21,3901.678978019743
12,22,18658.79313231341
12,23,679.6189963410143
12,24,21.94599993247539
12,25,589886.0576475781
12,26,23267.25814382383
12,27,43737795.73709378
12,28,1039899.04886605
12,29,37600.71552856755
12,30,23472.11529895931
12,31,1048466.740202507
12,32,374.1979965902865
12,33,1158.569989481824
12,34,2346.555975904339
12,35,330.9709875478875
12,38,5647.052914367057
12,39,52807.62665566977
12,40,9472.721796754631
12,41,6220.341118335258
12,42,218.6489980972838
12,44,3249.967993468978
12,45,12343.76580910943
12,46,34.36099986266345
12,47,21682.00403863331
12,48,51069.61487715971
12,49,394.153001963743
12,50,1.845999985933304
12,51,3128.755062622018
12,52,7330.006002310081
12,53,7.197999998927116
12,54,1926.284014150966
12,55,4832.06004589214
12,56,667.6680040835636
12,57,3883.628023617668
12,58,2.066999984672293
12,59,127.9879964049906
12,60,245.673001345247
12,61,336.1700049039209
12,62,777.030001787236
12,63,917.7259788798401
12,64,61.76499995624181
12,65,2.392999996198341
12,66,.0679999990388751
12,67,.0890000015497208
12,68,3916.57604475983
12,69,8517.894178424031
12,70,59022.07328181458
12,71,10204.58290043229
12,72,717810.3658875317
12,73,37812.89016122825
12,74,92937.43027789518
12,75,16.13699913024902
12,76,6850.175945929717
12,78,6604.036946058273
12,79,108.943998040515
12,81,.0219999998807907
12,82,109.1070008511888
12,83,44.91699957347009
12,84,80760.98799264105
12,85,24325.86998876161
12,86,174.4980024471879
12,87,1672.153002598323
12,88,1105.332982966211
12,90,3573.823059294606
12,91,52.03399884630926
12,92,.2319999933242798
12,94,2673.994034988806
12,95,113.3289984909352
12,96,103.5350000868784
12,97,3177.037989694509
16,2,2764.104930728674
16,3,4.840999990701675
16,4,68.89500083401799
16,5,.0020000000949949
16,6,.3330000042915344
16,7,3.772000022232533
16,8,39.77800001949072
16,9,13.65499966498464
16,10,25.89399993047118
16,11,.8309999890625477
16,12,19.79900016821921
16,13,4.269000053405762
16,15,215.1329969540238
16,16,84.68800142384134
16,17,3.852999938651919
16,18,3.361000061035156
16,19,67.2339997254312
16,20,77.18099868576974
16,21,39.03299977630377
16,22,379.6160093815997
16,23,13283.99102824926
16,25,.6560000032186508
16,27,1448.882995069027
16,28,12.72400006651878
16,29,8.409000009298325
16,30,195.9010000377893
16,31,4.413999855518341
16,32,25.14000013843179
16,33,59.29100027075037
16,34,15.2120002543088
16,35,1.352999977767467
16,38,2.149999998975545
16,39,770.3429906300735
16,40,11.10699984012172
16,41,15.17199993133545
16,42,18.99700036074501
16,44,18.13000013120472
16,45,.546999990940094
16,46,.1329999975860119
16,47,4806.929805755615
16,48,234.739998890087
16,49,43.62300007883459
16,52,2.351999942213297
16,53,.2410000041127205
16,55,.1400000005960464
16,56,2.512999959290028
16,57,2.187000032514334
16,58,.4130000099539757
16,59,39.5379998087883
16,60,7.70899985730648
16,61,17.51699994597584
16,62,23.3649999210611
16,63,18.66999997571111
16,64,33.34099904447794
16,65,2.871000109706074
16,66,.300000011920929
16,67,7.406999763101339
16,68,1.068999983370304
16,69,80.53400005889125
16,70,2.203999964520335
16,71,12.13099996501114
16,72,1523.939022481441
16,73,391.3919989056885
16,74,59.94099878054112
16,76,14.85299955867231
16,79,.1400000005960464
16,81,60.75799953937531
16,82,11.34900010412093
16,83,76.62699824944139
16,84,1080.135004336014
16,85,1535.570015323465
16,87,1615.77600593213
16,88,16.55999994277954
16,89,3.386000096797943
16,90,204.6079997099005
16,91,170.4740000078455
16,92,7.417999844998121
16,93,1762.680981442332
16,94,214.479003229877
16,95,25.70299969986081
16,96,41.32600077334791
16,97,1.096000000834465
20,1,32.8589985499857
20,2,163.5529933869839
20,3,61.79000065103173
20,4,111.5789958611131
20,5,2.607999920845032
20,6,1.449000004678965
20,7,40.71099904365838
20,8,13.33800032455474
20,9,50.05899973493069
20,10,4.205999996513128
20,11,69.32200241088867
20,12,.0540000014007092
20,13,5.977999832248315
20,15,24.31399965286255
20,16,7.880999967455864
20,17,74.7090000808239
20,18,.0679999999701977
